batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate,lowCI,highCI
6,2,1,3,nef,Node_1_913_2385_3650,2385,2101.54129016718,1028.62418998388,3174.45839035047
6,2,1,3,nef,Node_1_751_1434_3650,1434,2051.37572785341,978.62593903918,3124.12551666765
6,2,1,3,nef,Node_1_1091_61_3650,61,-60.502116300243,-1156.24387945686,1035.23964685637
6,2,1,3,nef,Node_1_343_316_3650,316,358.118729461606,-728.472651843904,1444.71011076712
6,2,1,3,nef,Node_1_302_656_3650,656,415.424420889966,-670.087116570852,1500.93595835078
6,2,1,3,nef,Node_1_1068_875_3650,875,1021.22744456121,-55.4599761064078,2097.91486522882
6,2,1,3,nef,Node_1_850_3273_3650,3273,2575.68279507874,1499.54083721621,3651.82475294126
6,2,1,3,nef,Node_1_399_2064_3650,2064,1895.40083840179,822.958095805103,2967.84358099847
6,2,1,3,nef,Node_1_34_933_3650,933,777.478209269792,-302.186937187893,1857.14335572748
6,2,1,3,nef,Node_1_41_2102_3650,2102,1513.71169495682,440.659159711493,2586.76423020214
6,2,1,3,nef,Node_1_267_1841_3650,1841,2026.93925148708,954.258880849178,3099.61962212498
6,2,1,3,nef,Node_1_242_3233_3650,3233,4224.37553934151,3114.42894202623,5334.32213665679
6,2,1,3,nef,Node_1_88_2198_3650,2198,2507.05138160653,1431.55971209873,3582.54305111434
6,2,1,3,nef,Node_1_92_1224_3650,1224,1637.80221474154,565.159892500118,2710.44453698296
6,2,1,3,nef,Node_1_1002_1136_3650,1136,1530.63872518539,457.65416517249,2603.62328519829
6,2,1,3,nef,Node_1_138_1179_3650,1179,656.649989856395,-424.778046741191,1738.07802645398
6,2,1,3,nef,Node_1_654_2932_3650,2932,2538.38177573869,1462.60092826183,3614.16262321555
6,2,1,3,nef,Node_1_114_2008_3650,2008,2220.33826595315,1146.89201515723,3293.78451674906
6,2,1,3,nef,Node_1_612_3212_3650,3212,3981.54959660802,2878.71708898937,5084.38210422666
6,2,1,3,nef,Node_1_435_1324_3650,1324,184.170411549095,-905.954791904919,1274.29561500311
6,2,2,3,nef,Node_1_34_933_3650,933,957.254067410335,-40.9026935842156,1955.41082840489
6,2,2,3,nef,Node_1_1002_1136_3650,1136,726.469513567047,-274.45963634183,1727.39866347592
6,2,2,3,nef,Node_1_850_3273_3650,3273,2008.15576933121,1014.41023140172,3001.9013072607
