batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate,lowCI,highCI
11,2,1,2,C1V2,Node_1_1086_2978_3650,2978,2591.81194549196,2051.85822063535,3131.76567034857
11,2,1,2,C1V2,Node_1_821_2660_3650,2660,2651.98428464662,2111.71262034565,3192.25594894759
11,2,1,2,C1V2,Node_1_804_13_3650,13,19.0117542401366,-529.736555799213,567.760064279487
11,2,1,2,C1V2,Node_1_481_137_3650,137,97.9528282450501,-449.884651410189,645.790307900289
11,2,1,2,C1V2,Node_1_857_1114_3650,1114,1194.99099962427,655.671339824649,1734.31065942388
11,2,1,2,C1V2,Node_1_860_1478_3650,1478,1452.35868110384,913.896457334214,1990.82090487346
11,2,1,2,C1V2,Node_1_786_131_3650,131,58.4822912425934,-489.805704888436,606.770287373622
11,2,1,2,C1V2,Node_1_392_3279_3650,3279,3125.833026417,2582.22998276978,3669.43607006422
11,2,1,2,C1V2,Node_1_21_2101_3650,2101,2076.40225672981,1538.19168638614,2614.61282707349
11,2,1,2,C1V2,Node_1_133_787_3650,787,766.501906869236,224.785448382936,1308.21836535554
11,2,1,2,C1V2,Node_1_332_1962_3650,1962,2557.98326770796,2018.19782080834,3097.76871460758
11,2,1,2,C1V2,Node_1_26_2993_3650,2993,2207.51367036041,1669.02665578903,2746.00068493179
11,2,1,2,C1V2,Node_1_637_2740_3650,2740,3484.28214576676,2937.19521634389,4031.36907518963
11,2,1,2,C1V2,Node_1_318_86_3650,86,-20.2564850214191,-569.47244756546,528.959477522622
11,2,1,2,C1V2,Node_1_208_468_3650,468,424.641202273357,-119.846661309374,969.129065856088
11,2,1,2,C1V2,Node_1_374_222_3650,222,178.80449202514,-368.140838040739,725.749822091018
11,2,1,2,C1V2,Node_1_1043_2802_3650,2802,2673.94482829776,2133.55119860088,3214.33845799463
11,2,1,2,C1V2,Node_1_585_2244_3650,2244,2050.66548858185,1512.49576874318,2588.83520842052
11,2,1,2,C1V2,Node_1_990_194_3650,194,-20.0991423340517,-569.313211787112,529.114927119008
11,2,1,2,C1V2,Node_1_463_917_3650,917,636.944567749053,94.2668938350573,1179.62224166305
11,2,2,2,C1V2,Node_1_374_222_3650,222,311.226155508942,-248.579023485122,871.031334503005
11,2,2,2,C1V2,Node_1_332_1962_3650,1962,2779.61946149106,2224.48183920864,3334.75708377349
11,2,2,2,C1V2,Node_1_392_3279_3650,3279,3376.99176285726,2816.79214273671,3937.1913829778
11,2,2,2,C1V2,Node_1_860_1478_3650,1478,1156.57684482765,603.018933928599,1710.13475572669
11,2,2,2,C1V2,Node_1_857_1114_3650,1114,962.8333553112,408.266439350288,1517.40027127211
11,2,2,2,C1V2,Node_1_481_137_3650,137,174.435533707493,-386.825453231139,735.696520646126
11,2,2,2,C1V2,Node_1_990_194_3650,194,141.010735933774,-420.62450201741,702.645973884957
11,2,2,2,C1V2,Node_1_1086_2978_3650,2978,2365.49223395323,1812.46128740739,2918.52318049908
11,2,2,2,C1V2,Node_1_1043_2802_3650,2802,2421.86416166968,1868.61469555488,2975.11362778448
11,2,2,2,C1V2,Node_1_463_917_3650,917,1148.69265913304,595.098642101152,1702.28667616492
11,2,2,2,C1V2,Node_1_804_13_3650,13,40.9853168977076,-521.813115228279,603.783749023694
11,2,2,2,C1V2,Node_1_786_131_3650,131,107.523694588781,-454.49375759898,669.541146776541
11,2,2,2,C1V2,Node_1_133_787_3650,787,705.767405952798,149.471660055115,1262.06315185048
11,2,2,2,C1V2,Node_1_21_2101_3650,2101,2409.31170812958,1856.11276722378,2962.51064903538
11,2,2,2,C1V2,Node_1_26_2993_3650,2993,2559.40170632641,2005.52866838754,3113.27474426527
11,2,2,2,C1V2,Node_1_318_86_3650,86,173.813097994761,-387.454791937061,735.080987926583
11,2,2,2,C1V2,Node_1_208_468_3650,468,454.19963872353,-104.214927688314,1012.61420513537
11,2,2,2,C1V2,Node_1_821_2660_3650,2660,3091.08629214226,2533.60469816613,3648.56788611839
11,2,2,2,C1V2,Node_1_585_2244_3650,2244,2030.85004693131,1478.67116021863,2583.02893364399
11,2,2,2,C1V2,Node_1_637_2740_3650,2740,2479.16974295523,1925.67603770798,3032.66344820247
11,2,3,2,C1V2,Node_1_208_468_3650,468,500.353666819673,-91.4663905142153,1092.17372415356
11,2,3,2,C1V2,Node_1_133_787_3650,787,803.472006614244,214.205865587573,1392.73814764092
11,2,3,2,C1V2,Node_1_318_86_3650,86,3.69169520777422,-593.701111732627,601.084502148175
11,2,3,2,C1V2,Node_1_637_2740_3650,2740,2991.19861906579,2400.79451397454,3581.60272415703
11,2,3,2,C1V2,Node_1_332_1962_3650,1962,1956.34141716665,1370.78040182131,2541.90243251199
11,2,3,2,C1V2,Node_1_392_3279_3650,3279,3522.76116165582,2926.91378151706,4118.60854179458
11,2,3,2,C1V2,Node_1_463_917_3650,917,967.82278849899,379.668929111851,1555.97664788613
11,2,3,2,C1V2,Node_1_990_194_3650,194,142.188531170774,-453.478945787059,737.856008128608
11,2,3,2,C1V2,Node_1_585_2244_3650,2244,2318.54482185568,1732.16465650558,2904.92498720579
11,2,3,2,C1V2,Node_1_821_2660_3650,2660,2973.21816976419,2382.96356202435,3563.47277750403
11,2,3,2,C1V2,Node_1_21_2101_3650,2101,2107.8780269017,1522.08972309811,2693.6663307053
11,2,3,2,C1V2,Node_1_860_1478_3650,1478,1663.78123329824,1078.18856172511,2249.37390487136
11,2,3,2,C1V2,Node_1_857_1114_3650,1114,1143.83717425943,556.66045362121,1731.01389489765
11,2,3,2,C1V2,Node_1_804_13_3650,13,3.64657488330349,-593.746815524536,601.039965291143
11,2,3,2,C1V2,Node_1_1086_2978_3650,2978,2701.79685791033,2113.52034407299,3290.07337174766
11,2,3,2,C1V2,Node_1_374_222_3650,222,177.247023284555,-418.004596134177,772.498642703288
11,2,3,2,C1V2,Node_1_786_131_3650,131,38.0508222922586,-558.901708165533,635.00335275005
11,2,3,2,C1V2,Node_1_26_2993_3650,2993,2947.5898254648,2357.54435155508,3537.63529937451
11,2,3,2,C1V2,Node_1_1043_2802_3650,2802,3771.41926981418,3172.35539668233,4370.48314294603
11,2,3,2,C1V2,Node_1_481_137_3650,137,97.7675717293105,-498.438960526624,693.974103985245
11,2,4,2,C1V2,Node_1_1086_2978_3650,2978,3008.13407694139,2440.30465594895,3575.96349793383
11,2,4,2,C1V2,Node_1_318_86_3650,86,106.971944005173,-466.190821590275,680.134709600621
