batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate,lowCI,highCI
3,5,1,2,p17,Node_1_64_1536_1825,1536,1825,550.706,1825
3,5,1,2,p17,Node_1_69_113_1825,113,-45,-45,207.144
3,5,1,2,p17,Node_1_143_2178_3650,2178,1051.54,-14.0075,1941.3
3,5,1,2,p17,Node_1_205_3082_3650,3082,2554.49,1346.99,3650
3,5,1,2,p17,Node_1_215_1396_3650,1396,1358.46,488.758,2410.91
3,5,1,2,p17,Node_1_235_525_1825,525,1512.79,251.333,1825
3,5,1,2,p17,Node_1_282_1307_1825,1307,709.522,-45,1472.11
3,5,1,2,p17,Node_1_334_602_1825,602,603.531,-45,1511.99
3,5,1,2,p17,Node_1_408_3417_3650,3417,1840.96,597.465,3311.03
3,5,1,2,p17,Node_1_534_1839_3650,1839,838.572,-45,1797.07
3,5,1,2,p17,Node_1_607_1658_3650,1658,1104.52,-45,2184.67
3,5,1,2,p17,Node_1_692_2282_3650,2282,2507.07,824.655,3650
3,5,1,2,p17,Node_1_792_345_3650,345,873.074,-45,2368.3
3,5,1,2,p17,Node_1_798_1318_3650,1318,1576.1,-45,2820.66
3,5,1,2,p17,Node_1_890_1539_3650,1539,538.925,-45,1336.39
3,5,1,2,p17,Node_1_914_2884_3650,2884,2471.69,1618.36,3425.81
3,5,1,2,p17,Node_1_927_3640_3650,3640,2948.42,1249.37,3650
3,5,1,2,p17,Node_1_932_1865_3650,1865,3308.47,1246.16,3650
3,5,1,2,p17,Node_1_1005_606_3650,606,1361.87,554.63,2459.58
3,5,1,2,p17,Node_1_1011_381_1825,381,-45,-45,501.904
3,5,1,2,p17,Node_1_1060_3219_3650,3219,2767.93,1251.69,3650
3,5,1,2,p17,Node_1_1062_1602_3650,1602,931.355,-45,2095.43
3,5,1,2,p17,Node_1_1094_964_1825,964,1663.38,518.84,1825
3,5,1,2,p17,Node_1_1098_28_3650,28,-45,-45,403.201
3,5,1,2,p17,Node_1_1162_2044_3650,2044,2085.63,1215.95,2799.26
3,5,1,2,p17,Node_1_1167_2949_3650,2949,2847.45,2086.81,3285
3,5,1,2,p17,Node_1_1233_2246_3650,2246,3026.44,1154.96,3650
3,5,1,2,p17,Node_1_1236_37_1825,37,-45,-45,545.925
3,5,1,2,p17,Node_1_1240_970_1825,970,1067.94,26.7073,1825
3,5,1,2,p17,Node_1_1292_1811_1825,1811,1825,445.565,1825
3,5,2,2,p17,Node_1_64_1536_1825,1536,1705.17,650.917,1825
3,5,2,2,p17,Node_1_69_113_1825,113,73.1223,-45,319.432
3,5,2,2,p17,Node_1_143_2178_3650,2178,3239.25,1756.6,3650
