batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate
13,3,1,3,tat,Node_1_612_1492_3650,1492,-311.151501807414
13,3,1,3,tat,Node_1_819_882_3650,882,-1042.99035173725
13,3,1,3,tat,Node_1_293_1639_3650,1639,2190.03094367251
13,3,1,3,tat,Node_1_523_634_3650,634,0.38387074421064
13,3,1,3,tat,Node_1_501_2443_3650,2443,2569.40220768321
13,3,1,3,tat,Node_1_401_2304_3650,2304,2352.4643566006
13,3,1,3,tat,Node_1_365_637_3650,637,-1210.91806599671
13,3,1,3,tat,Node_1_329_2212_3650,2212,-1210.86302434094
13,3,1,3,tat,Node_1_790_3085_3650,3085,3649.99999999
13,3,1,3,tat,Node_1_460_804_3650,804,1476.24318789696
13,3,1,3,tat,Node_1_491_293_3650,293,1308.65592270199
13,3,1,3,tat,Node_1_257_1557_3650,1557,3649.99999999
13,3,1,3,tat,Node_1_452_2953_3650,2953,113.204303751292
13,3,1,3,tat,Node_1_454_2540_3650,2540,-616.70549319408
13,3,1,3,tat,Node_1_763_2535_3650,2535,551.145519752552
13,3,1,3,tat,Node_1_923_396_3650,396,-153.436255116939
13,3,1,3,tat,Node_1_110_1479_3650,1479,1455.69119633345
13,3,1,3,tat,Node_1_734_404_3650,404,1094.935123202
13,3,1,3,tat,Node_1_201_324_3650,324,336.488631455971
13,3,1,3,tat,Node_1_638_2689_3650,2689,3649.99999999
13,3,2,3,tat,Node_1_638_2689_3650,2689,2190.04404182701
13,3,2,3,tat,Node_1_523_634_3650,634,2315.99783881553
13,3,2,3,tat,Node_1_819_882_3650,882,1089.69506611678
13,3,2,3,tat,Node_1_293_1639_3650,1639,340.614845656087
13,3,2,3,tat,Node_1_923_396_3650,396,67.9220197613656
13,3,2,3,tat,Node_1_201_324_3650,324,365.189730280931
13,3,2,3,tat,Node_1_257_1557_3650,1557,365.189730280931
13,3,2,3,tat,Node_1_734_404_3650,404,-185.374559447226
13,3,2,3,tat,Node_1_460_804_3650,804,359.699257620175
13,3,2,3,tat,Node_1_491_293_3650,293,-185.20581008588
13,3,2,3,tat,Node_1_612_1492_3650,1492,542.944383535727
13,3,2,3,tat,Node_1_763_2535_3650,2535,1675.63461710439
13,3,2,3,tat,Node_1_401_2304_3650,2304,3649.99999999
13,3,2,3,tat,Node_1_790_3085_3650,3085,3396.57512384337
13,3,2,3,tat,Node_1_110_1479_3650,1479,1460.05186246881
13,3,2,3,tat,Node_1_329_2212_3650,2212,220.935663567637
13,3,2,3,tat,Node_1_365_637_3650,637,2200.92885062205
13,3,2,3,tat,Node_1_501_2443_3650,2443,2186.64048370586
13,3,2,3,tat,Node_1_452_2953_3650,2953,2898.58111124701
13,3,2,3,tat,Node_1_454_2540_3650,2540,-19.2224827623928
13,3,3,3,tat,Node_1_923_396_3650,396,2184.95722390867
13,3,3,3,tat,Node_1_734_404_3650,404,1454.75405713507
13,3,3,3,tat,Node_1_201_324_3650,324,359.972626854432
13,3,3,3,tat,Node_1_293_1639_3650,1639,313.285987082317
13,3,3,3,tat,Node_1_638_2689_3650,2689,3649.99999999
13,3,3,3,tat,Node_1_460_804_3650,804,3279.96068834966
13,3,3,3,tat,Node_1_257_1557_3650,1557,2115.94775337229
13,3,3,3,tat,Node_1_501_2443_3650,2443,3422.85389317713
13,3,3,3,tat,Node_1_763_2535_3650,2535,-1011.87877160909
13,3,3,3,tat,Node_1_365_637_3650,637,1305.02306542544
13,3,3,3,tat,Node_1_612_1492_3650,1492,822.746270687678
13,3,3,3,tat,Node_1_110_1479_3650,1479,1454.95889668299
13,3,3,3,tat,Node_1_819_882_3650,882,2.17910719450136
13,3,3,3,tat,Node_1_401_2304_3650,2304,308.454907555653
13,3,3,3,tat,Node_1_790_3085_3650,3085,3649.99999999
13,3,3,3,tat,Node_1_491_293_3650,293,-1526.97359205413
13,3,3,3,tat,Node_1_523_634_3650,634,330.435093598085
13,3,3,3,tat,Node_1_329_2212_3650,2212,3229.4918867157
13,3,3,3,tat,Node_1_452_2953_3650,2953,650.032530927236
13,3,3,3,tat,Node_1_454_2540_3650,2540,2470.14355909116
13,3,4,3,tat,Node_1_612_1492_3650,1492,791.914271714224
13,3,4,3,tat,Node_1_110_1479_3650,1479,1460.03296329278
13,3,4,3,tat,Node_1_365_637_3650,637,-873.135217935301
13,3,4,3,tat,Node_1_401_2304_3650,2304,1557.14616254388
13,3,4,3,tat,Node_1_923_396_3650,396,-852.972189905584
13,3,4,3,tat,Node_1_734_404_3650,404,-872.976733487177
13,3,4,3,tat,Node_1_257_1557_3650,1557,-872.976733487177
13,3,4,3,tat,Node_1_819_882_3650,882,-873.199647508904
13,3,4,3,tat,Node_1_763_2535_3650,2535,2470.84586708111
13,3,4,3,tat,Node_1_523_634_3650,634,470.449384697091
13,3,4,3,tat,Node_1_491_293_3650,293,-893.470497487025
13,3,4,3,tat,Node_1_201_324_3650,324,-893.572877970516
13,3,4,3,tat,Node_1_790_3085_3650,3085,2610.04655447144
13,3,4,3,tat,Node_1_460_804_3650,804,355.346021174457
13,3,4,3,tat,Node_1_638_2689_3650,2689,2186.08413752214
13,3,4,3,tat,Node_1_329_2212_3650,2212,3649.99999999
13,3,4,3,tat,Node_1_501_2443_3650,2443,1091.15684372892
13,3,4,3,tat,Node_1_452_2953_3650,2953,2224.99608360029
13,3,4,3,tat,Node_1_454_2540_3650,2540,2224.99608360029
13,3,4,3,tat,Node_1_293_1639_3650,1639,803.010873379656
13,3,5,3,tat,Node_1_523_634_3650,634,541.336628169212
13,3,5,3,tat,Node_1_612_1492_3650,1492,1460.03925190437
13,3,5,3,tat,Node_1_923_396_3650,396,726.542014483038
13,3,5,3,tat,Node_1_329_2212_3650,2212,142.137070307823
13,3,5,3,tat,Node_1_452_2953_3650,2953,2314.49960171384
