batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate
15,4,1,1,tat,Node_1_848_2866_3650,2866,3649.99999999
15,4,1,1,tat,Node_1_8_1722_3650,1722,-203.145901422079
15,4,1,1,tat,Node_1_752_3138_3650,3138,3649.99999999
15,4,1,1,tat,Node_1_137_1450_3650,1450,-287.012728800518
15,4,1,1,tat,Node_1_1051_2163_3650,2163,147.00970726433
15,4,1,1,tat,Node_1_881_3245_3650,3245,1085.6581298798
15,4,1,1,tat,Node_1_119_3221_3650,3221,3649.99999999
15,4,1,1,tat,Node_1_611_1005_3650,1005,-931.122687751226
15,4,1,1,tat,Node_1_545_447_3650,447,358.318419608298
15,4,1,1,tat,Node_1_356_178_3650,178,2551.5031179544
15,4,1,1,tat,Node_1_150_834_3650,834,2551.5031179544
15,4,1,1,tat,Node_1_1098_213_3650,213,2920.63312006003
15,4,1,1,tat,Node_1_391_794_3650,794,488.99705100385
15,4,1,1,tat,Node_1_31_2757_3650,2757,-891.113629079226
15,4,1,1,tat,Node_1_869_2341_3650,2341,3649.99999999
15,4,1,1,tat,Node_1_194_855_3650,855,419.782507204437
15,4,1,1,tat,Node_1_92_1283_3650,1283,3649.99999999
15,4,1,1,tat,Node_1_592_272_3650,272,358.522487533327
15,4,1,1,tat,Node_1_388_708_3650,708,-1400.77668093327
15,4,1,1,tat,Node_1_726_1198_3650,1198,-1899.79094225761
15,4,2,1,tat,Node_1_92_1283_3650,1283,565.31805183793
15,4,2,1,tat,Node_1_137_1450_3650,1450,1055.88294116273
15,4,2,1,tat,Node_1_848_2866_3650,2866,2938.91782433228
15,4,2,1,tat,Node_1_611_1005_3650,1005,-877.813732009714
15,4,2,1,tat,Node_1_150_834_3650,834,-877.901736800091
15,4,2,1,tat,Node_1_752_3138_3650,3138,-227.323594568987
15,4,2,1,tat,Node_1_1098_213_3650,213,233.489872497067
15,4,2,1,tat,Node_1_194_855_3650,855,-878.39205846136
15,4,2,1,tat,Node_1_391_794_3650,794,628.054791593907
15,4,2,1,tat,Node_1_31_2757_3650,2757,2537.29188625391
15,4,2,1,tat,Node_1_119_3221_3650,3221,-16.2829161974243
15,4,2,1,tat,Node_1_8_1722_3650,1722,465.185936061078
15,4,2,1,tat,Node_1_356_178_3650,178,910.902348321341
15,4,2,1,tat,Node_1_545_447_3650,447,1456.32411340633
15,4,2,1,tat,Node_1_592_272_3650,272,1456.35892149681
15,4,2,1,tat,Node_1_1051_2163_3650,2163,1235.43397894455
15,4,2,1,tat,Node_1_881_3245_3650,3245,3649.99999999
15,4,2,1,tat,Node_1_869_2341_3650,2341,1145.78346339522
15,4,2,1,tat,Node_1_388_708_3650,708,104.878419777257
15,4,2,1,tat,Node_1_726_1198_3650,1198,1224.12754365571
15,4,3,1,tat,Node_1_611_1005_3650,1005,-33.4055999857933
15,4,3,1,tat,Node_1_31_2757_3650,2757,2354.21457132565
15,4,3,1,tat,Node_1_119_3221_3650,3221,2283.64392422059
15,4,3,1,tat,Node_1_194_855_3650,855,1142.518223727
15,4,3,1,tat,Node_1_92_1283_3650,1283,-302.528509793367
15,4,3,1,tat,Node_1_150_834_3650,834,1114.95708927176
15,4,3,1,tat,Node_1_848_2866_3650,2866,1782.87017507506
15,4,3,1,tat,Node_1_388_708_3650,708,898.933823470697
15,4,3,1,tat,Node_1_726_1198_3650,1198,1094.82932875158
15,4,3,1,tat,Node_1_545_447_3650,447,1017.1288008213
15,4,3,1,tat,Node_1_8_1722_3650,1722,-591.7563218905
15,4,3,1,tat,Node_1_391_794_3650,794,377.830594894084
15,4,3,1,tat,Node_1_137_1450_3650,1450,1217.29867460515
15,4,3,1,tat,Node_1_869_2341_3650,2341,1671.49500036431
15,4,3,1,tat,Node_1_881_3245_3650,3245,3649.99999999
15,4,3,1,tat,Node_1_752_3138_3650,3138,3086.64786023271
15,4,3,1,tat,Node_1_356_178_3650,178,583.698260681635
15,4,3,1,tat,Node_1_592_272_3650,272,-230.084444188438
15,4,3,1,tat,Node_1_1098_213_3650,213,729.2123260422
15,4,3,1,tat,Node_1_1051_2163_3650,2163,2021.22604021051
15,4,4,1,tat,Node_1_1051_2163_3650,2163,2017.09094128677
15,4,4,1,tat,Node_1_8_1722_3650,1722,1532.17106458277
15,4,4,1,tat,Node_1_881_3245_3650,3245,3649.99999999
15,4,4,1,tat,Node_1_848_2866_3650,2866,1082.5534290072
15,4,4,1,tat,Node_1_726_1198_3650,1198,-1552.2700511121
15,4,4,1,tat,Node_1_752_3138_3650,3138,40.0828043698523
15,4,4,1,tat,Node_1_194_855_3650,855,97.004458011395
15,4,4,1,tat,Node_1_869_2341_3650,2341,1558.85775618754
15,4,4,1,tat,Node_1_137_1450_3650,1450,2198.4138317898
15,4,4,1,tat,Node_1_391_794_3650,794,1460.00011587844
15,4,4,1,tat,Node_1_592_272_3650,272,364.906771788453
15,4,4,1,tat,Node_1_31_2757_3650,2757,378.71969097219
15,4,4,1,tat,Node_1_92_1283_3650,1283,1454.12648834431
15,4,4,1,tat,Node_1_611_1005_3650,1005,1090.90006110176
15,4,4,1,tat,Node_1_150_834_3650,834,-1552.6451455807
15,4,4,1,tat,Node_1_388_708_3650,708,516.646376318311
15,4,4,1,tat,Node_1_119_3221_3650,3221,2815.10554912183
15,4,4,1,tat,Node_1_1098_213_3650,213,592.909197914922
15,4,4,1,tat,Node_1_356_178_3650,178,599.351914954083
15,4,4,1,tat,Node_1_545_447_3650,447,2561.54205628892
15,4,5,1,tat,Node_1_391_794_3650,794,-598.08035532084
15,4,5,1,tat,Node_1_592_272_3650,272,-1604.46724489025
15,4,5,1,tat,Node_1_8_1722_3650,1722,-1047.27074490854
15,4,5,1,tat,Node_1_726_1198_3650,1198,1092.97692434286
15,4,5,1,tat,Node_1_92_1283_3650,1283,1359.17491052796
15,4,5,1,tat,Node_1_611_1005_3650,1005,183.695727223146
15,4,5,1,tat,Node_1_150_834_3650,834,-2264.31536119284
15,4,5,1,tat,Node_1_1098_213_3650,213,360.491253869159
15,4,5,1,tat,Node_1_119_3221_3650,3221,2971.29060633537
15,4,5,1,tat,Node_1_31_2757_3650,2757,1932.41056430195
15,4,5,1,tat,Node_1_356_178_3650,178,725.483195921051
15,4,5,1,tat,Node_1_388_708_3650,708,1090.48099834533
15,4,5,1,tat,Node_1_545_447_3650,447,364.954418172658
15,4,5,1,tat,Node_1_194_855_3650,855,1820.480613557
15,4,5,1,tat,Node_1_848_2866_3650,2866,2306.59943942946
15,4,5,1,tat,Node_1_137_1450_3650,1450,2745.06013438402
15,4,5,1,tat,Node_1_1051_2163_3650,2163,1679.27925447149
15,4,5,1,tat,Node_1_869_2341_3650,2341,329.920306364519
15,4,5,1,tat,Node_1_881_3245_3650,3245,-3025.77693783505
15,4,5,1,tat,Node_1_752_3138_3650,3138,2594.82111060481
15,4,6,1,tat,Node_1_8_1722_3650,1722,-438.95608362674
15,4,6,1,tat,Node_1_119_3221_3650,3221,3308.852057415
15,4,6,1,tat,Node_1_726_1198_3650,1198,1820.99430848074
15,4,6,1,tat,Node_1_545_447_3650,447,725.991045001334
15,4,6,1,tat,Node_1_356_178_3650,178,420.569247991328
15,4,6,1,tat,Node_1_752_3138_3650,3138,2517.30894555557
15,4,6,1,tat,Node_1_611_1005_3650,1005,2557.04161745497
15,4,6,1,tat,Node_1_592_272_3650,272,360.990913899057
15,4,6,1,tat,Node_1_881_3245_3650,3245,-907.213027780286
15,4,6,1,tat,Node_1_388_708_3650,708,-907.159536226163
15,4,6,1,tat,Node_1_92_1283_3650,1283,-208.849207609526
15,4,6,1,tat,Node_1_391_794_3650,794,1040.3707148445
