batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate,lowCI,highCI
11,3,1,1,p17,Node_1_68_1868_3650,1868,1503.8,445.807,2979.62
11,3,1,1,p17,Node_1_173_1214_3650,1214,1448.65,884.169,1825
11,3,1,1,p17,Node_1_174_632_3650,632,1072.17,157.645,1774.29
11,3,1,1,p17,Node_1_226_2152_3650,2152,3213.77,1446.24,3650
11,3,1,1,p17,Node_1_227_1720_3650,1720,2518.54,1114.41,3650
11,3,1,1,p17,Node_1_292_1583_3650,1583,653.047,-45,1540.44
11,3,1,1,p17,Node_1_313_1831_3650,1831,2208.47,718.302,3596.58
11,3,1,1,p17,Node_1_336_466_3650,466,-45,-45,351.959
11,3,1,1,p17,Node_1_488_23_3650,23,-18.9235,-45,365
11,3,1,1,p17,Node_1_501_1356_3650,1356,3051.66,1166.66,3650
11,3,1,1,p17,Node_1_510_1319_3650,1319,1731.6,366.009,3384.8
11,3,1,1,p17,Node_1_620_11_3650,11,120.809,-45,365
11,3,1,1,p17,Node_1_717_2808_3650,2808,2773.56,2350.81,2920
11,3,1,1,p17,Node_1_733_1126_3650,1126,601.73,-45,1927.8
11,3,1,1,p17,Node_1_793_2727_3650,2727,2796.48,2190,2920
11,3,1,1,p17,Node_1_798_1635_3650,1635,2015.01,627.365,3434.35
11,3,1,1,p17,Node_1_923_17_3650,17,124.337,-45,365
11,3,1,1,p17,Node_1_925_431_3650,431,120.809,-45,365
11,3,1,1,p17,Node_1_976_2474_3650,2474,2920.13,2071.1,2920.13
11,3,1,1,p17,Node_1_1025_2348_3650,2348,1832,568.802,3184.66
11,3,2,1,p17,Node_1_68_1868_3650,1868,2435.44,1484.68,3514.92
11,3,2,1,p17,Node_1_173_1214_3650,1214,2021.8,1145.03,3005.24
11,3,2,1,p17,Node_1_174_632_3650,632,1463.99,876.193,1825
11,3,2,1,p17,Node_1_226_2152_3650,2152,2753.12,705.919,3650
11,3,2,1,p17,Node_1_227_1720_3650,1720,1853.49,449.162,2866.87
11,3,2,1,p17,Node_1_292_1583_3650,1583,2062.14,1125.93,2851.71
11,3,2,1,p17,Node_1_313_1831_3650,1831,2106.29,864.804,3650
11,3,2,1,p17,Node_1_336_466_3650,466,50.8423,-45,478.103
11,3,2,1,p17,Node_1_488_23_3650,23,22.384,-45,285.852
11,3,2,1,p17,Node_1_501_1356_3650,1356,1538.14,550.141,2304.44
