batch,rep,ali,sub,gene,run,nodeName,trueDate,nodeDate,lowCI,highCI
5,5,1,1,tat,1,Node_1_13_464_3650,464,2121.962,894.687,3647.660
5,5,1,1,tat,1,Node_1_163_2382_3650,2382,2875.392,1860.237,3649.862
5,5,1,1,tat,1,Node_1_262_2854_3650,2854,2173.928,587.952,3645.825
5,5,1,1,tat,1,Node_1_285_18_3650,18,1330.300,85.943,3051.378
5,5,1,1,tat,1,Node_1_396_2852_3650,2852,2576.274,1233.162,3649.847
5,5,1,1,tat,1,Node_1_415_2445_3650,2445,3005.568,2001.034,3649.823
5,5,1,1,tat,1,Node_1_598_1001_3650,1001,2363.964,913.237,3649.225
5,5,1,1,tat,1,Node_1_612_1094_3650,1094,1071.181,-20.646,2812.988
5,5,1,1,tat,1,Node_1_661_1348_3650,1348,2364.888,976.306,3648.437
5,5,1,1,tat,1,Node_1_679_3259_3650,3259,2609.669,1678.563,3641.749
5,5,1,1,tat,1,Node_1_809_16_3650,16,1056.436,-40.687,2819.668
5,5,1,1,tat,1,Node_1_823_247_3650,247,1071.298,-42.706,2801.940
5,5,1,1,tat,1,Node_1_826_2750_3650,2750,2944.900,1902.091,3649.985
5,5,1,1,tat,1,Node_1_854_1943_3650,1943,2598.387,1650.786,3649.198
5,5,1,1,tat,1,Node_1_876_3167_3650,3167,1818.706,606.878,3413.866
5,5,1,1,tat,1,Node_1_888_2537_3650,2537,2883.149,1859.480,3649.785
5,5,1,1,tat,1,Node_1_987_122_3650,122,1075.659,-44.723,2794.850
5,5,1,1,tat,1,Node_1_1032_3011_3650,3011,963.353,-44.877,2796.127
5,5,1,1,tat,1,Node_1_1043_1921_3650,1921,2253.204,1024.882,3649.318
5,5,1,1,tat,1,Node_1_1055_2388_3650,2388,2372.068,1221.716,3638.518
5,5,2,1,tat,1,Node_1_13_464_3650,464,983.547,-44.895,2795.835
5,5,2,1,tat,1,Node_1_163_2382_3650,2382,2838.716,1939.272,3649.659
5,5,2,1,tat,1,Node_1_262_2854_3650,2854,2660.437,1741.827,3649.999
5,5,2,1,tat,1,Node_1_285_18_3650,18,1005.207,-44.224,2862.956
5,5,2,1,tat,1,Node_1_396_2852_3650,2852,2194.944,810.199,3639.385
5,5,2,1,tat,1,Node_1_415_2445_3650,2445,3224.995,2518.012,3649.964
5,5,2,1,tat,1,Node_1_598_1001_3650,1001,1292.488,-18.061,3012.239
5,5,2,1,tat,1,Node_1_612_1094_3650,1094,1002.375,-43.619,2795.298
5,5,2,1,tat,1,Node_1_661_1348_3650,1348,2334.035,1145.568,3646.678
5,5,2,1,tat,1,Node_1_679_3259_3650,3259,3065.860,2199.135,3649.800
5,5,2,1,tat,1,Node_1_809_16_3650,16,1227.272,-43.123,2925.598
5,5,2,1,tat,1,Node_1_823_247_3650,247,984.657,-44.986,2787.141
5,5,2,1,tat,1,Node_1_826_2750_3650,2750,2925.354,1870.555,3649.935
5,5,2,1,tat,1,Node_1_854_1943_3650,1943,1776.619,663.203,3370.657
5,5,2,1,tat,1,Node_1_876_3167_3650,3167,2848.402,1816.814,3649.803
5,5,2,1,tat,1,Node_1_888_2537_3650,2537,1042.331,-44.837,2928.319
5,5,2,1,tat,1,Node_1_987_122_3650,122,1086.346,-43.446,2877.079
5,5,2,1,tat,1,Node_1_1032_3011_3650,3011,3041.184,2134.621,3649.342
5,5,2,1,tat,1,Node_1_1043_1921_3650,1921,2824.432,1642.038,3649.977
5,5,2,1,tat,1,Node_1_1055_2388_3650,2388,3194.377,2390.955,3649.940
5,5,3,1,tat,1,Node_1_13_464_3650,464,1942.128,608.351,3611.157
5,5,3,1,tat,1,Node_1_163_2382_3650,2382,2739.213,1947.710,3649.723
5,5,3,1,tat,1,Node_1_262_2854_3650,2854,3041.806,2141.086,3649.943
5,5,3,1,tat,1,Node_1_285_18_3650,18,920.519,-43.052,2695.028
5,5,3,1,tat,1,Node_1_396_2852_3650,2852,3135.006,2287.205,3649.909
5,5,3,1,tat,1,Node_1_415_2445_3650,2445,2675.582,1516.031,3649.979
5,5,3,1,tat,1,Node_1_598_1001_3650,1001,965.197,-44.297,2750.833
5,5,3,1,tat,1,Node_1_612_1094_3650,1094,1330.614,168.722,2990.804
5,5,3,1,tat,1,Node_1_661_1348_3650,1348,1452.043,220.670,3145.230
5,5,3,1,tat,1,Node_1_679_3259_3650,3259,2957.705,1945.922,3649.888
5,5,3,1,tat,1,Node_1_809_16_3650,16,961.152,-44.806,2663.416
