batch,rep,ali,sub,gene,nodeName,trueDate,nodeDate,lowCI,highCI
15,5,1,1,C1V2,Node_1_196_308_1825,308,201.18607408743,-772.516385336256,1174.88853351112
15,5,1,1,C1V2,Node_1_331_767_1825,767,616.132718173827,-351.900196611102,1584.16563295876
15,5,1,1,C1V2,Node_1_886_1200_1825,1200,990.339146295378,26.1763356449154,1954.50195694584
15,5,1,1,C1V2,Node_1_275_268_1825,268,330.17160969465,-641.614579873245,1301.95779926254
15,5,1,1,C1V2,Node_1_504_1382_1825,1382,1630.01083350639,669.694116649613,2590.32755036316
15,5,1,1,C1V2,Node_1_459_1055_1825,1055,955.433331629201,-9.04019706902318,1919.90686032743
15,5,1,1,C1V2,Node_1_38_1453_1825,1453,1982.16221878771,1022.45849118901,2941.86594638641
15,5,1,1,C1V2,Node_1_299_490_1825,490,321.394859465186,-650.517338217706,1293.30705714808
15,5,1,1,C1V2,Node_1_969_1374_1825,1374,1429.10121292419,467.955243991473,2390.24718185691
15,5,1,1,C1V2,Node_1_414_733_1825,733,368.2209595433,-603.026375149411,1339.46829423601
15,5,1,1,C1V2,Node_1_164_1207_3650,1207,1395.60370201976,434.285657302282,2356.92174673724
15,5,1,1,C1V2,Node_1_1072_2249_3650,2249,2141.19995073937,1181.42173199842,3100.97816948031
15,5,1,1,C1V2,Node_1_341_1586_3650,1586,1719.33752925153,759.277705638454,2679.39735286461
15,5,1,1,C1V2,Node_1_666_2273_3650,2273,1850.83789300473,891.030856788548,2810.64492922091
15,5,1,1,C1V2,Node_1_150_3334_3650,3334,3780.1386017548,2806.94975628914,4753.32744722046
15,5,1,1,C1V2,Node_1_254_141_3650,141,41.4441902548964,-934.822258227271,1017.71063873706
15,5,1,1,C1V2,Node_1_434_2986_3650,2986,3626.48260203553,2655.51776829821,4597.44743577286
15,5,1,1,C1V2,Node_1_251_2216_3650,2216,1572.32067583765,611.80145401624,2532.83989765905
15,5,1,1,C1V2,Node_1_1204_1325_3650,1325,1346.56455317319,384.97718957467,2308.1519167717
15,5,1,1,C1V2,Node_1_1291_1053_3650,1053,741.949570317115,-224.64974014463,1708.54888077886
15,5,1,1,C1V2,Node_1_923_715_3650,715,1197.15861302062,234.623397869023,2159.69382817222
15,5,1,1,C1V2,Node_1_1228_3279_3650,3279,3320.88068573627,2353.75212889919,4288.00924257334
15,5,1,1,C1V2,Node_1_801_1090_3650,1090,1321.5420131207,359.80926309777,2283.27476314364
15,5,1,1,C1V2,Node_1_373_2822_3650,2822,3051.06477395427,2086.66788223216,4015.46166567637
15,5,1,1,C1V2,Node_1_555_1502_3650,1502,1577.92874260318,617.430465933834,2538.42701927252
15,5,1,1,C1V2,Node_1_173_452_3650,452,487.348368818285,-482.290057346855,1456.98679498343
15,5,1,1,C1V2,Node_1_1295_869_3650,869,621.162374465784,-346.810667663007,1589.13541659457
15,5,1,1,C1V2,Node_1_1103_1795_3650,1795,1726.22815837151,766.185289409327,2686.27102733369
15,5,1,1,C1V2,Node_1_102_11_3650,11,-76.9539188577558,-1055.25606992926,901.348232213751
